area_type,availability,location,size_bhk,total_sqft,bath,balcony,price,price_per_sqft,availability_grouped
Super built-up  Area,Ready To Move,Old Madras Road,4.0,3630.0,6.0,1.0,195.0,5371.900826446281,Ready To Move
Built-up  Area,Ready To Move,JP Nagar,3.0,2000.0,3.0,2.0,250.0,12500.0,Ready To Move
Super built-up  Area,19-Jun,Hebbal,4.0,2790.0,4.0,3.0,198.0,7096.774193548387,Upcoming
Super built-up  Area,20-Jan,Badavala Nagar,3.0,1494.0,2.0,2.0,94.55,6328.647925033467,Upcoming
Super built-up  Area,18-Oct,Hennur Road,3.0,1482.0,2.0,1.0,87.0,5870.4453441295545,Upcoming
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2.0,800.0,2.0,3.0,50.0,6250.0,Ready To Move
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1185.0,2.0,2.0,47.39,3999.15611814346,Ready To Move
Super built-up  Area,Ready To Move,Hulimavu,2.0,1100.0,2.0,2.0,71.5,6500.0,Ready To Move
Built-up  Area,Ready To Move,NRI Layout,2.0,1300.0,2.0,0.0,120.0,9230.76923076923,Ready To Move
Super built-up  Area,Ready To Move,4th Block Koramangala,2.0,1225.0,2.0,2.0,150.0,12244.897959183674,Ready To Move
Super built-up  Area,Ready To Move,Hulimavu,3.0,1758.0,3.0,2.0,65.0,3697.3833902161546,Ready To Move
Super built-up  Area,Ready To Move,Banaswadi,2.0,1145.0,2.0,2.0,55.0,4803.493449781659,Ready To Move
Built-up  Area,Ready To Move,Hormavu,2.0,1180.0,2.0,2.0,50.0,4237.28813559322,Ready To Move
Super built-up  Area,Ready To Move,Belatur,2.0,1260.0,2.0,2.0,58.0,4603.174603174603,Ready To Move
Built-up  Area,Ready To Move,Arekere,2.0,1190.0,2.0,2.0,55.0,4621.848739495798,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1691.0,3.0,2.0,119.0,7037.25606150207,Ready To Move
Super built-up  Area,18-Dec,Lalbagh Road,4.0,3675.0,4.0,3.0,367.0,9986.394557823129,Upcoming
Built-up  Area,Ready To Move,Frazer Town,3.0,1305.0,3.0,2.0,95.45,7314.176245210728,Ready To Move
Super built-up  Area,18-Apr,Basavangudi,3.0,2337.0,4.0,3.0,292.0,12494.651262302097,Upcoming
Plot  Area,Ready To Move,Kamakya Layout,2.0,1200.0,2.0,2.0,150.0,12500.0,Ready To Move
Super built-up  Area,20-Dec,Domlur,2.0,1206.0,2.0,1.0,217.0,17993.366500829186,Upcoming
Super built-up  Area,Ready To Move,Kogilu,2.0,1140.0,2.0,1.0,50.66,4443.859649122807,Ready To Move
Super built-up  Area,Ready To Move,Nallurhalli,2.0,1250.0,2.0,2.0,65.0,5200.0,Ready To Move
Super built-up  Area,18-Aug,Chinnapanahalli,2.0,1225.0,2.0,2.0,48.0,3918.3673469387754,Upcoming
Built-up  Area,Ready To Move,Kereguddadahalli,2.0,800.0,2.0,2.0,28.0,3500.0,Ready To Move
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1020.0,2.0,1.0,58.0,5686.274509803921,Ready To Move
Built-up  Area,Ready To Move,TC Palaya,4.0,2100.0,2.0,1.0,50.0,2380.9523809523807,Ready To Move
Plot  Area,Ready To Move,Lingarajapuram,2.0,1350.0,2.0,1.0,80.0,5925.925925925926,Ready To Move
Super built-up  Area,Ready To Move,Anekal,2.0,925.0,2.0,1.0,40.0,4324.324324324324,Ready To Move
Built-up  Area,Ready To Move,Yelachenahalli,4.0,1800.0,3.0,1.0,220.0,12222.222222222223,Ready To Move
Built-up  Area,Ready To Move,3rd Block HBR Layout,3.0,2000.0,3.0,1.0,100.0,5000.0,Ready To Move
Built-up  Area,Ready To Move,Frazer Town,3.0,1510.0,2.0,1.0,75.0,4966.887417218543,Ready To Move
Plot  Area,Ready To Move,Kasavanhalli,5.0,5800.0,7.0,2.0,1200.0,20689.655172413793,Ready To Move
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3.0,1614.0,3.0,1.0,110.0,6815.365551425031,Ready To Move
Plot  Area,Ready To Move,Gottigere,2.0,1200.0,2.0,0.0,95.0,7916.666666666667,Ready To Move
Plot  Area,Ready To Move,TC Palaya,2.0,900.0,2.0,0.0,55.0,6111.111111111111,Ready To Move
Built-up  Area,Ready To Move,Bommenahalli,4.0,1632.0,3.0,0.0,145.0,8884.803921568628,Ready To Move
Super built-up  Area,Ready To Move,OMBR Layout,2.0,1041.0,2.0,2.0,65.5,6292.026897214217,Ready To Move
Built-up  Area,Ready To Move,7th Phase JP Nagar,6.0,5080.0,7.0,2.0,450.0,8858.267716535433,Ready To Move
Super built-up  Area,18-Jul,Bannerghatta,4.0,3012.0,6.0,2.0,250.0,8300.132802124834,Upcoming
Super built-up  Area,Ready To Move,Marathahalli,3.0,1530.0,3.0,2.0,74.5,4869.281045751634,Ready To Move
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3.0,1450.0,2.0,2.0,135.0,9310.344827586207,Ready To Move
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,1200.0,2.0,2.0,75.0,6250.0,Ready To Move
Plot  Area,Ready To Move,Sahakara Nagar,4.0,1200.0,4.0,2.0,130.0,10833.333333333334,Ready To Move
Super built-up  Area,Ready To Move,Hosur Road,3.0,1508.0,2.0,1.0,110.0,7294.429708222811,Ready To Move
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2.0,1188.0,2.0,3.0,73.0,6144.781144781145,Ready To Move
Super built-up  Area,18-May,Old Airport Road,4.0,2690.0,4.0,3.0,199.0,7397.769516728625,Upcoming
Super built-up  Area,Ready To Move,Harlur,2.0,1174.0,2.0,1.0,76.0,6473.594548551959,Ready To Move
Super built-up  Area,19-Dec,Old Madras Road,3.0,1350.0,3.0,1.0,58.99,4369.62962962963,Upcoming
Super built-up  Area,Ready To Move,Frazer Town,3.0,1870.0,3.0,3.0,185.0,9893.048128342247,Ready To Move
Super built-up  Area,18-Jun,Kengeri Satellite Town,2.0,1072.0,2.0,1.0,25.0,2332.089552238806,Upcoming
Plot  Area,Ready To Move,Nelamangala,3.0,52272.0,2.0,1.0,140.0,267.82981328435875,Ready To Move
Super built-up  Area,18-Nov,Kengeri,2.0,726.0,2.0,1.0,31.0,4269.972451790633,Upcoming
Super built-up  Area,Ready To Move,Hosur Road,2.0,1345.0,2.0,2.0,106.0,7881.0408921933085,Ready To Move
Super built-up  Area,Ready To Move,Begur Road,2.0,1200.0,2.0,2.0,45.0,3750.0,Ready To Move
Built-up  Area,Ready To Move,Nagavarapalya,2.0,980.0,2.0,0.0,37.0,3775.5102040816328,Ready To Move
Super built-up  Area,Ready To Move,Hormavu,2.0,1050.0,2.0,1.0,77.0,7333.333333333333,Ready To Move
Super built-up  Area,Ready To Move,Uttarahalli,2.0,993.0,2.0,1.0,39.71,3998.9929506545823,Ready To Move
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1300.0,2.0,2.0,52.0,4000.0,Ready To Move
Super built-up  Area,Ready To Move,Vittasandra,3.0,1743.0,3.0,2.0,85.0,4876.649454962708,Ready To Move
Plot  Area,Ready To Move,Whitefield,4.0,1204.0,4.0,1.0,125.0,10382.059800664452,Ready To Move
Plot  Area,Ready To Move,Hormavu,2.0,1200.0,2.0,0.0,67.0,5583.333333333333,Ready To Move
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3.0,1480.0,3.0,2.0,90.0,6081.081081081081,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur,2.0,950.0,2.0,2.0,32.5,3421.0526315789475,Ready To Move
Built-up  Area,Ready To Move,Domlur,1.0,640.0,1.0,0.0,55.0,8593.75,Ready To Move
Super built-up  Area,18-Jul,Electronic City Phase II,2.0,972.0,2.0,1.0,44.0,4526.748971193416,Upcoming
Super built-up  Area,Ready To Move,Marathahalli,3.0,1840.0,3.0,3.0,98.0,5326.086956521739,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,2.0,1128.0,2.0,1.0,64.0,5673.758865248227,Ready To Move
Plot  Area,Ready To Move,Hongasandra,2.0,680.0,2.0,0.0,42.0,6176.470588235294,Ready To Move
Plot  Area,Ready To Move,Harappanahalli,2.0,2400.0,2.0,1.0,95.0,3958.3333333333335,Ready To Move
Built-up  Area,Ready To Move,Basapura,2.0,1045.0,2.0,2.0,42.0,4019.1387559808613,Ready To Move
Built-up  Area,Ready To Move,Roopena Agrahara,2.0,955.0,2.0,3.0,53.55,5607.3298429319375,Ready To Move
Super built-up  Area,Ready To Move,Doddakallasandra,3.0,1360.0,2.0,2.0,54.39,3999.264705882353,Ready To Move
Super built-up  Area,Ready To Move,BTM Layout,2.0,1150.0,2.0,2.0,63.0,5478.260869565217,Ready To Move
Built-up  Area,19-Mar,Hennur Road,4.0,3450.0,4.0,3.0,294.0,8521.739130434782,Upcoming
Super built-up  Area,18-Oct,Chennammana Kere,2.0,1115.0,2.0,2.0,56.87,5100.448430493274,Upcoming
Super built-up  Area,Ready To Move,Jigani,2.0,920.0,2.0,2.0,46.0,5000.0,Ready To Move
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2.0,1030.0,2.0,1.0,41.0,3980.5825242718447,Upcoming
Super built-up  Area,Ready To Move,Thanisandra,3.0,1564.0,3.0,1.0,101.0,6457.800511508952,Ready To Move
Super built-up  Area,Ready To Move,Uttarahalli,2.0,1045.0,2.0,1.0,45.0,4306.2200956937795,Ready To Move
Plot  Area,Ready To Move,Hegde Nagar,4.0,1200.0,4.0,1.0,83.0,6916.666666666667,Ready To Move
Built-up  Area,Ready To Move,Subramanyapura,2.0,1277.0,2.0,2.0,55.0,4306.969459671104,Ready To Move
Super built-up  Area,Ready To Move,Kanaka Nagar,3.0,2479.13,3.0,1.0,215.0,8672.39717158842,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1846.0,3.0,2.0,140.0,7583.965330444204,Ready To Move
Built-up  Area,Ready To Move,Tasker Town,2.0,1100.0,2.0,0.0,106.0,9636.363636363636,Ready To Move
Super built-up  Area,Ready To Move,Govindpura,3.0,1690.0,3.0,2.0,75.0,4437.869822485207,Ready To Move
Plot  Area,17-Jul,Hormavu,2.0,1200.0,3.0,0.0,70.0,5833.333333333333,Upcoming
Built-up  Area,Ready To Move,Yelahanka,4.0,3042.0,4.0,0.0,131.0,4306.37738330046,Ready To Move
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,3.0,223.0,13597.560975609756,Ready To Move
Built-up  Area,19-Mar,NR Colony,2.0,1068.0,2.0,1.0,40.05,3749.9999999999995,Upcoming
Super built-up  Area,Ready To Move,Kanakpura Road,2.0,1135.0,2.0,2.0,58.0,5110.132158590309,Ready To Move
Super built-up  Area,Ready To Move,Agara Village,3.0,1925.0,3.0,2.0,120.0,6233.766233766234,Ready To Move
Super built-up  Area,Ready To Move,Begur Road,3.0,1615.0,3.0,2.0,60.0,3715.170278637771,Ready To Move
Super built-up  Area,Ready To Move,Shettigere,1.0,650.0,1.0,1.0,26.0,4000.0,Ready To Move
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1150.0,2.0,3.0,42.0,3652.1739130434785,Ready To Move
Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,3.0,1410.0,2.0,2.0,45.12,3200.0,Upcoming
Super built-up  Area,18-Apr,Kumara Park,3.0,2000.0,3.0,3.0,207.0,10350.0,Upcoming
Super built-up  Area,Ready To Move,Tumkur Road,3.0,1354.0,3.0,1.0,90.0,6646.971935007386,Ready To Move
Plot  Area,Ready To Move,BEL Road,2.0,1050.0,2.0,0.0,110.0,10476.190476190477,Ready To Move
Built-up  Area,Ready To Move,Arekere,1.0,600.0,1.0,1.0,28.0,4666.666666666667,Ready To Move
Plot  Area,Ready To Move,Varthur,4.0,1320.0,2.0,1.0,110.0,8333.333333333334,Ready To Move
Super built-up  Area,18-May,Koramangala,3.0,1600.0,3.0,2.0,88.0,5500.0,Upcoming
Built-up  Area,Ready To Move,Kanakpura Road,4.0,3500.0,6.0,2.0,225.0,6428.571428571428,Ready To Move
Super built-up  Area,Ready To Move,GM Palaya,2.0,1000.0,2.0,1.0,36.0,3600.0,Ready To Move
Super built-up  Area,Ready To Move,Byagadadhenahalli,3.0,1130.0,3.0,1.0,38.0,3362.83185840708,Ready To Move
Super built-up  Area,Ready To Move,Vittasandra,2.0,1238.0,2.0,1.0,67.0,5411.954765751211,Ready To Move
Super built-up  Area,Ready To Move,Ashwathnagar,3.0,2204.0,2.0,3.0,305.0,13838.47549909256,Ready To Move
Super built-up  Area,18-Apr,Kudlu Gate,3.0,1364.0,2.0,3.0,46.38,3400.293255131965,Upcoming
Built-up  Area,Ready To Move,Srinivasa Nagar,2.0,900.0,2.0,1.0,45.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Gubbalala,3.0,1745.0,3.0,2.0,104.0,5959.885386819485,Ready To Move
Super built-up  Area,Ready To Move,Kogilu,2.0,1200.0,2.0,1.0,53.33,4444.166666666667,Ready To Move
Super built-up  Area,Ready To Move,Kanakapura,2.0,1020.0,2.0,1.0,42.83,4199.019607843137,Ready To Move
Super built-up  Area,18-Dec,Banashankari Stage III,3.0,1650.0,3.0,2.0,118.0,7151.515151515152,Upcoming
Super built-up  Area,Ready To Move,Doddabommasandra,3.0,1550.0,2.0,3.0,70.0,4516.129032258064,Ready To Move
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1440.0,2.0,2.0,60.0,4166.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3.0,1329.0,2.0,2.0,45.95,3457.486832204665,Ready To Move
Super built-up  Area,Ready To Move,Maruthi Layout,2.0,916.0,2.0,1.0,42.0,4585.152838427947,Ready To Move
Super built-up  Area,Ready To Move,Hulimavu,1.0,688.0,1.0,2.0,50.0,7267.441860465116,Ready To Move
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3.0,1358.0,3.0,3.0,50.0,3681.8851251840942,Ready To Move
Super built-up  Area,19-Jul,Kanakpura Road,2.0,1331.0,2.0,1.0,107.0,8039.068369646882,Upcoming
Super built-up  Area,Ready To Move,Malleshwaram,1.0,686.0,1.0,1.0,62.5,9110.787172011662,Ready To Move
Super built-up  Area,Ready To Move,Hoodi,2.0,1050.0,2.0,2.0,50.0,4761.9047619047615,Ready To Move
Super built-up  Area,Ready To Move,Talaghattapura,3.0,2106.0,3.0,2.0,126.0,5982.9059829059825,Ready To Move
Super built-up  Area,18-Jul,Bhoganhalli,3.0,1718.0,3.0,2.0,90.2,5250.291036088475,Upcoming
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1530.0,3.0,2.0,57.0,3725.4901960784314,Ready To Move
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,1206.0,2.0,2.0,56.0,4643.449419568822,Ready To Move
Built-up  Area,Ready To Move,Hebbal,2.0,1075.0,2.0,3.0,52.0,4837.209302325581,Ready To Move
Plot  Area,18-Dec,Sarjapur  Road,3.0,1200.0,3.0,1.0,95.0,7916.666666666667,Upcoming
Super built-up  Area,18-Dec,Tunganagara,3.0,1936.0,2.0,2.0,54.21,2800.103305785124,Upcoming
Super built-up  Area,Ready To Move,Nagavara,4.0,2172.65,3.0,3.0,120.0,5523.208984419948,Ready To Move
Super built-up  Area,Ready To Move,Sahakara Nagar,3.0,1100.0,2.0,2.0,75.0,6818.181818181818,Ready To Move
Plot  Area,Ready To Move,BTM 2nd Stage,3.0,1260.0,5.0,1.0,185.0,14682.539682539682,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1117.0,2.0,3.0,29.99,2684.870188003581,Ready To Move
Built-up  Area,Ready To Move,Remco Bhel Layout,3.0,1685.0,2.0,1.0,110.0,6528.189910979228,Ready To Move
Super built-up  Area,Ready To Move,CV Raman Nagar,2.0,740.0,2.0,1.0,37.0,5000.0,Ready To Move
Plot  Area,Ready To Move,Magadi Road,4.0,1500.0,2.0,2.0,93.0,6200.0,Ready To Move
Super built-up  Area,Ready To Move,Banashankari,3.0,1800.0,3.0,2.0,115.0,6388.888888888889,Ready To Move
Super built-up  Area,Ready To Move,Yelachenahalli,3.0,1700.0,3.0,2.0,130.0,7647.058823529412,Ready To Move
Built-up  Area,Ready To Move,Uttarahalli,2.0,850.0,2.0,2.0,37.93,4462.35294117647,Ready To Move
Super built-up  Area,Ready To Move,Hennur Road,3.0,1891.0,3.0,1.0,139.0,7350.608143839238,Ready To Move
Built-up  Area,Ready To Move,Jalahalli,2.0,1400.0,1.0,1.0,80.0,5714.285714285715,Ready To Move
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1172.0,2.0,2.0,82.0,6996.587030716723,Ready To Move
Super built-up  Area,18-May,Electronic City Phase II,3.0,1400.0,2.0,2.0,40.43,2887.8571428571427,Upcoming
Built-up  Area,Ready To Move,Sonnenahalli,2.0,896.0,2.0,1.0,43.75,4882.8125,Ready To Move
Super built-up  Area,20-Jun,Vijayanagar,2.0,1180.0,2.0,2.0,65.0,5508.474576271186,Upcoming
Plot  Area,Ready To Move,Basaveshwara Nagar,7.0,2460.0,7.0,1.0,350.0,14227.642276422765,Ready To Move
Built-up  Area,Ready To Move,Chokkasandra,2.0,850.0,2.0,1.0,33.0,3882.3529411764707,Ready To Move
Super built-up  Area,19-Oct,Anekal,1.0,530.0,1.0,1.0,18.0,3396.2264150943397,Upcoming
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3.0,1550.0,3.0,3.0,110.0,7096.774193548387,Upcoming
Super built-up  Area,19-Dec,Kanakapura,3.0,1699.0,3.0,3.0,97.0,5709.240729841083,Upcoming
Super built-up  Area,17-Oct,Bellandur,4.0,2025.0,4.0,3.0,109.0,5382.716049382716,Upcoming
Super built-up  Area,18-Jun,Ananth Nagar,1.0,500.0,2.0,2.0,14.0,2800.0,Upcoming
Built-up  Area,Ready To Move,Panduranga Nagar,1.0,500.0,1.0,0.0,20.0,4000.0,Ready To Move
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2.0,1146.0,2.0,1.0,38.5,3359.5113438045373,Ready To Move
Super built-up  Area,Ready To Move,Malleshwaram,3.0,2475.0,4.0,3.0,332.0,13414.141414141413,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,2.0,1455.0,2.0,1.0,145.0,9965.635738831616,Ready To Move
Plot  Area,Ready To Move,Seegehalli,2.0,800.0,1.0,0.0,50.0,6250.0,Ready To Move
Super built-up  Area,Ready To Move,Abbigere,1.0,765.0,2.0,2.0,30.0,3921.5686274509803,Ready To Move
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1521.0,3.0,1.0,94.99,6245.233399079553,Ready To Move
Super built-up  Area,Ready To Move,Gottigere,3.0,1600.0,2.0,2.0,55.0,3437.5,Ready To Move
Super built-up  Area,Ready To Move,Byadarahalli,3.0,3155.0,4.0,2.0,370.0,11727.41679873217,Ready To Move
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,2900.0,4.0,2.0,240.0,8275.862068965518,Ready To Move
Super built-up  Area,Ready To Move,Jakkur Plantation,3.0,1765.0,3.0,3.0,105.0,5949.008498583569,Ready To Move
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1980.0,3.0,2.0,88.0,4444.444444444444,Ready To Move
Built-up  Area,Ready To Move,Amruthahalli,3.0,1900.0,3.0,1.0,135.0,7105.263157894737,Ready To Move
Super built-up  Area,Ready To Move,Kaverappa Layout,2.0,1265.0,2.0,3.0,70.0,5533.596837944664,Ready To Move
Super built-up  Area,Ready To Move,Bommasandra,2.0,1034.0,2.0,3.0,40.0,3868.4719535783365,Ready To Move
Built-up  Area,Ready To Move,Kaverappa Layout,2.0,1012.0,2.0,1.0,59.0,5830.0395256917,Ready To Move
Super built-up  Area,Ready To Move,Electronic City,2.0,1070.0,2.0,1.0,54.0,5046.728971962617,Ready To Move
Built-up  Area,Ready To Move,Mahadevpura,4.0,3555.0,4.0,1.0,230.0,6469.760900140647,Ready To Move
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3.0,1270.0,2.0,2.0,70.0,5511.811023622047,Ready To Move
Super built-up  Area,Ready To Move,Doddanekundi,3.0,2045.0,4.0,3.0,154.0,7530.562347188264,Ready To Move
Super built-up  Area,Ready To Move,Bellandur,3.0,1490.0,2.0,2.0,98.0,6577.181208053691,Ready To Move
Built-up  Area,Ready To Move,Banaswadi,7.0,6150.0,6.0,1.0,830.0,13495.934959349594,Ready To Move
Super built-up  Area,Ready To Move,Mysore Road,2.0,883.0,2.0,1.0,40.0,4530.011325028313,Ready To Move
Super built-up  Area,Ready To Move,Yeshwanthpur,1.0,671.0,1.0,1.0,36.85,5491.803278688524,Ready To Move
Super built-up  Area,Ready To Move,Kammasandra,2.0,1156.0,2.0,2.0,32.0,2768.166089965398,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,3.0,2017.0,3.0,2.0,125.0,6197.322756569162,Ready To Move
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,3122.0,6.0,2.0,235.0,7527.226137091608,Ready To Move
Super built-up  Area,18-Jul,Ramagondanahalli,3.0,1635.0,3.0,1.0,62.0,3792.0489296636088,Upcoming
Built-up  Area,Ready To Move,Sir M V Nagar,7.0,4400.0,9.0,2.0,120.0,2727.2727272727275,Ready To Move
Super built-up  Area,19-Jul,Kanakpura Road,2.0,1296.0,2.0,1.0,89.0,6867.283950617284,Upcoming
Plot  Area,Ready To Move,Bikasipura,6.0,2400.0,4.0,2.0,280.0,11666.666666666666,Ready To Move
Super built-up  Area,Ready To Move,Budigere,2.0,1139.0,2.0,2.0,62.0,5443.371378402107,Ready To Move
Super built-up  Area,18-Aug,CV Raman Nagar,2.0,1230.0,3.0,2.0,47.0,3821.1382113821137,Upcoming
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1.0,581.91,2.0,1.0,25.0,4296.197006409926,Ready To Move
Super built-up  Area,19-Dec,Binny Pete,2.0,1245.0,2.0,1.0,86.28,6930.120481927711,Upcoming
Plot  Area,Ready To Move,Sidedahalli,3.0,1158.0,2.0,2.0,85.0,7340.241796200346,Ready To Move
Built-up  Area,Ready To Move,Marathahalli,4.0,3951.0,4.0,2.0,220.0,5568.2105796001015,Ready To Move
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1.0,360.0,1.0,1.0,26.0,7222.222222222223,Ready To Move
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1350.0,3.0,1.0,55.0,4074.074074074074,Ready To Move
Built-up  Area,Ready To Move,Green Glen Layout,3.0,1670.0,3.0,2.0,120.0,7185.62874251497,Ready To Move
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1600.0,2.0,2.0,65.0,4062.5,Ready To Move
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2.0,1307.0,2.0,2.0,51.6,3947.972456006121,Ready To Move
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1050.0,2.0,1.0,57.0,5428.571428571428,Ready To Move
Super built-up  Area,Ready To Move,Hennur Road,3.0,1703.0,3.0,2.0,101.0,5930.710510863182,Ready To Move
Super built-up  Area,Ready To Move,Kaggalipura,3.0,1210.0,2.0,1.0,58.0,4793.388429752066,Ready To Move
Built-up  Area,18-Dec,Electronic City,2.0,1025.0,2.0,1.0,29.6,2887.8048780487807,Upcoming
Super built-up  Area,Ready To Move,Haralur Road,2.0,1140.0,2.0,2.0,43.0,3771.9298245614036,Ready To Move
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1343.0,2.0,2.0,56.41,4200.297840655249,Ready To Move
Super built-up  Area,Ready To Move,R.T. Nagar,3.0,1560.0,3.0,2.0,85.0,5448.717948717948,Ready To Move
Super built-up  Area,17-Aug,Kalkere,2.0,925.0,2.0,2.0,51.0,5513.513513513513,Upcoming
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,1420.0,2.0,2.0,75.0,5281.69014084507,Ready To Move
Built-up  Area,Ready To Move,1st Block Koramangala,2.0,1415.0,2.0,3.0,110.0,7773.851590106007,Ready To Move
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2.0,1210.0,2.0,2.0,60.0,4958.677685950413,Ready To Move
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,1852.0,3.0,2.0,160.0,8639.308855291576,Ready To Move
Super built-up  Area,Ready To Move,Hoskote,3.0,1250.0,3.0,2.0,50.0,4000.0,Ready To Move
Super built-up  Area,21-Sep,9th Phase JP Nagar,2.0,1100.0,2.0,1.0,65.0,5909.090909090909,Upcoming
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2.0,1150.0,2.0,1.0,40.25,3500.0,Ready To Move
Super built-up  Area,20-Dec,Jakkur,2.0,1100.0,2.0,1.0,53.35,4850.0,Upcoming
Plot  Area,Ready To Move,Magadi Road,2.0,1350.0,1.0,0.0,100.0,7407.407407407408,Ready To Move
Super built-up  Area,Ready To Move,Panathur,3.0,1546.0,3.0,2.0,99.0,6403.622250970246,Ready To Move
Super built-up  Area,Ready To Move,Ambedkar Nagar,2.0,1424.0,2.0,2.0,90.0,6320.224719101124,Ready To Move
Built-up  Area,Ready To Move,Bellandur,3.0,1398.0,3.0,1.0,68.0,4864.0915593705295,Ready To Move
Super built-up  Area,Ready To Move,Indira Nagar,3.0,1650.0,3.0,2.0,200.0,12121.212121212122,Ready To Move
Plot  Area,Ready To Move,HBR Layout,4.0,1200.0,4.0,0.0,120.0,10000.0,Ready To Move
Super built-up  Area,Ready To Move,Brookefield,3.0,1476.0,3.0,2.0,105.0,7113.821138211382,Ready To Move
Super built-up  Area,18-Aug,Magadi Road,3.0,1322.0,2.0,2.0,58.82,4449.3192133131615,Upcoming
Built-up  Area,Ready To Move,Yemlur,2.0,1100.0,2.0,2.0,55.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Race Course Road,4.0,4750.0,5.0,2.0,600.0,12631.578947368422,Ready To Move
Built-up  Area,Ready To Move,Sarjapur,3.0,1285.0,2.0,2.0,68.0,5291.828793774319,Ready To Move
Built-up  Area,Ready To Move,Ambalipura,2.0,1150.0,2.0,2.0,80.0,6956.521739130435,Ready To Move
Super built-up  Area,Ready To Move,Thanisandra,3.0,1430.0,2.0,2.0,56.0,3916.083916083916,Ready To Move
Super built-up  Area,Ready To Move,Marathahalli,3.0,1350.0,2.0,2.0,62.0,4592.592592592592,Ready To Move
Plot  Area,Ready To Move,Gkvk Layout,3.0,1350.0,3.0,3.0,195.0,14444.444444444445,Ready To Move
Built-up  Area,Ready To Move,Thubarahalli,2.0,1185.0,2.0,2.0,65.0,5485.232067510548,Ready To Move
Super built-up  Area,Ready To Move,Bannerghatta Road,3.0,1760.0,3.0,2.0,67.0,3806.818181818182,Ready To Move
Plot  Area,Ready To Move,Bank Of Baroda Colony,4.0,2400.0,5.0,2.0,350.0,14583.333333333334,Ready To Move
Super built-up  Area,21-Dec,Kanakpura Road,2.0,900.0,2.0,1.0,41.0,4555.555555555556,Upcoming
Super built-up  Area,19-Jul,Kanakpura Road,2.0,1297.0,2.0,1.0,105.0,8095.605242868157,Upcoming
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3.0,1840.0,3.0,2.0,155.0,8423.91304347826,Ready To Move
Built-up  Area,Ready To Move,Ramamurthy Nagar,2.0,950.0,2.0,1.0,50.79,5346.315789473684,Ready To Move
Carpet  Area,Ready To Move,BTM 2nd Stage,2.0,950.0,2.0,1.0,52.0,5473.684210526316,Ready To Move
Super built-up  Area,18-Jan,Electronic City,3.0,1571.0,3.0,2.0,89.0,5665.1814131126675,Upcoming
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1031.0,2.0,1.0,55.0,5334.62657613967,Ready To Move
